TICKER,RSI,STOCH,SHARPE,TREYNOR,P/VL
ALLO,16.44,41.87,0.39,91.46,1.36
ALLT,98.76,18.6,0.19,41.61,2.76
ALLY,73.12,71.99,0.52,52.17,3.41
ALNA,32.13,34.94,1.36,29.1,3.09
ALNY,53.63,92.65,1.89,14.88,3.86
ALOT,68.65,95.1,1.52,57.74,2.28
ALPA,39.52,58.96,1.88,42.76,3.88
ALPN,61.18,46.76,1.49,29.98,1.02
ALPP,20.2,23.54,1.23,87.84,0.87
ALRM,25.57,36.52,0.44,60.13,2.98
ALRN,18.55,10.09,1.34,11.91,0.8
ALRS,99.39,42.48,1.43,40.84,1.34
ALSK,75.78,54.39,0.05,70.75,1.93
ALSN,29.1,57.03,1.2,27.18,2.35
ALT,37.58,51.35,1.52,98.23,3.4
ALTA,99,25.41,1.78,34.05,2.31
ALTD,59.6,63.33,0.31,44.51,2.72
ALTE,40.53,83.28,0.2,65.94,0.23
ALTG,46.03,48.13,0.92,30.02,0.07
ALTM,61.69,40,1.05,62.6,1.41
ALTO,33.19,84.9,0.6,74.53,2.82
ALTP,90.38,99.01,0.05,32.98,1.84
ALTR,31.43,54.98,0.78,53.14,2.71
ALTT,35.27,67.34,1.78,71.31,2.47
ALTU,77.06,96.81,0.88,21.12,2.97
ALUS,17.65,86.79,0.58,18.72,2.19
ALV,76.02,60.04,0.17,57.25,1.27
ALVR,82.52,44.8,0.62,96.41,1.75
ALX,80.37,20.24,0.65,80.89,2.35
ALXN,29.82,58.97,1.7,37.19,0.02
ALXO,48.54,32.44,0.28,51.35,1.01
ALYA,96.15,63.65,0.17,65.67,1.37
ALZN,64.94,89.02,0.58,60.49,3.44
AM,58.27,74.83,1.15,30.34,2.91
AMAL,56.28,11.93,1.57,21.62,0.68
AMAO,61.79,97.37,0.28,92.11,1.42
AMAT,61.24,24.04,1.38,10.03,3.79
AMBA,81.55,40.77,1.55,40.04,0.79
AMBC,46.41,27.09,1.58,77.48,2.2
AMBO,79.71,93.46,1.42,98.32,3.76
AMC,56.27,67.95,1.83,80.7,2.35
AMCI,59.5,26.73,1.56,71.42,2.99
AMCR,11.01,22.91,0.28,72.89,0.47
AMCX,31.21,21.67,0.36,19.71,2.11
AMD,59.27,36.45,0.8,44.93,2.86
AME,27.45,67.89,0.33,89.81,3.42
AMED,78.17,92.43,1.5,62.22,3.77
AMEH,63.67,80.24,1.16,89.33,1.84
AMG,40.94,81.88,1.85,12.92,1.85
AMGN,99.9,17.13,0.79,90.56,0.54
AMH,73.44,22.36,0.21,17.87,1.23
AMHC,74.42,29.93,0.79,59.51,3.03
AMHG,94.11,82.34,1.72,68.34,0.73
AMK,57.48,98.98,1.8,95.81,0.27
AMKR,48.5,87.94,0.15,52.22,2.49
AMN,33.49,95.08,0.32,87.9,2.65
AMNB,73.47,35.31,1.81,25.77,0.67
AMOT,70.31,34.32,1.66,85.71,3.39
AMOV,14.37,25.78,1.37,73.4,0.19
AMP,57.5,69.48,1.92,17.99,1.36
AMPE,29.09,23.81,1.62,63,2.12
AMPG,54.4,19.25,0.3,17.42,2.04
AMPH,74.79,53.43,0.21,67.43,2.92
AMPI,38.67,92.76,1.53,17.41,2.04
AMPY,82.53,93.67,1.02,83.71,0.24
AMR,31.89,98.16,1.75,17.03,2.93
AMRB,23.17,80.35,1.71,28.99,3.31
AMRC,40.96,22.74,0.09,10.39,1.08
AMRK,14.97,29.38,1.02,41.57,2.94
AMRN,17.54,83.49,0.31,52.34,3.55
AMRS,61.99,26.89,1.16,37.72,3.79
AMRX,24.55,48.32,1.13,50.1,0.98
AMS,75.75,92.89,0.25,47.58,1.67
AMSC,90.13,97.17,0.59,85.77,3.98
AMSF,86.1,40.59,0.47,65.06,3.71
AMST,47.09,54.33,1.89,56.6,2.47
AMSWA,58.89,25.72,0.11,69.34,2.57
AMT,46.87,99.03,1.35,35.88,3.35
AMTB,93.32,26.49,1.54,86.49,1.3
AMTBB,44.9,77.4,1.98,32.83,3.84
AMTI,54.88,28.75,1.45,64.39,3.91
AMTX,28.41,18.66,0.7,25.49,2.04
AMTY,52.02,28.43,0.95,67.75,2.21
AMWD,88.37,44.51,1.12,41.35,2.91
AMWL,32.27,97.18,1.86,84.19,0.85
AMX,30.87,62.56,1.93,28.24,0.04
AMYT,84.4,42.5,0.81,35.79,1.96
AMZN,55.96,80.94,0.19,51.66,0.95
AN,42.56,99.37,1.12,57.55,0.35
ANAB,12.33,82.55,0.04,33.34,1.1
ANAC,35.68,74.8,0.71,91.16,1.74
ANAT,41.15,95.17,0.85,74.86,1.58
ANDA,11.19,20.32,0.72,65.13,2.95
ANDE,98.16,11.43,1.53,11.66,0.07
ANDR,45.24,19.33,0.1,22.53,2.36
ANEB,80.57,19.17,1.21,89.01,0.76
ANET,52.25,78.4,0.51,55.14,1
ANF,89.59,56.78,1.89,52.97,2.34
ANFIF,43.93,42.59,0.23,42.59,2.29
ANGI,34.29,46.81,1.66,89.53,0.3
ANGN,28.16,85.4,1.76,12.24,2.12
ANGO,25.11,90.83,1.09,44.7,0.74
ANIK,19.05,75.48,1.19,99.91,3.58
ANIP,30.56,25.92,0.71,74.18,1.44
ANIX,22.96,97.03,1.41,14.02,3.72
ANNX,89.56,26.03,0.57,90,2.12
ANPC,81.24,54.27,0.78,67.73,3.11
ANSS,90.03,75.26,1.76,30.36,2.29
ANTE,98.28,55.29,0.64,11.46,3.87
ANTH,63.81,68.89,0.3,75.64,0.3
ANTM,31.6,73.07,0.91,14.16,2.42
ANVS,85.49,57.98,1.12,15.91,1.15
ANXGF,31.31,95.77,0.15,84.49,3.22
ANY,16,12.52,0.24,45.17,2.89
ANZU,56.99,12.65,1.7,86.53,3.75
AOLS,16.52,14.39,0.42,99.59,2.91
AON,20.36,19.3,1.35,82.3,1.73
AONE,88.19,71.36,1.33,14.79,3.31
AOS,29.5,62.69,1.56,87.53,1.03
AOSL,48.6,55.34,0.06,61.19,0.93
AOUT,10.19,47.44,1.3,29.93,1.55
AOXG,95.53,21.98,1.51,51.52,1.39
AP,90.88,64.38,1.53,32.48,0.81
APA,51.3,23.86,1.48,40.44,0.95
APAC,46.95,10.6,0.21,28.6,2.18
APAM,57.52,76.58,0.06,53.26,3.07
APCP,34.93,87.03,1.78,58.55,1.03
APD,14.64,39.05,0.95,33.4,3.11
APDN,44.73,93.36,0.58,69.25,3.7
APEI,14.12,99.25,1.7,57.09,0.25
APEN,97.86,98.39,1.34,61.89,0.1
APEX,49.21,36.57,0.11,96.75,0.08
APG,44.41,38.08,1.45,76.51,1.13
APGB,79.29,98.4,1.65,66.23,0.85
APGC,90.3,63.15,0.77,92.02,1.81
APH,60.8,83.5,1.54,78.65,2.35
API,38.56,45.2,1.36,70.45,2.57
APLE,70.49,38.81,0.95,11.34,1.47
APLS,30.64,27,0.43,69.51,0.98
APLT,11.06,57.12,0.45,40.46,1.99
APM,23.7,99.6,1.64,54.3,3.26
APO,50.36,94.56,1.83,30.5,3.94
APOG,54.53,26.55,0.36,19.81,1.99
APOP,68.21,47.59,1.94,45.09,1.88
APP,70.83,96.34,1.45,13.25,3.5
APPF,13.03,73.2,1.04,86.1,1.87
APPH,12.44,22.82,0.24,28.94,2.08
APPN,54.35,43.63,0.74,65.95,3.51
APPS,16.83,95.81,1.91,92.47,0.79
APR,10.67,71.95,1.87,59.34,1.32
APRE,86.31,96.92,1.99,68.69,2.87
APRN,11.19,65.29,1,26.6,1.65
APSG,34.85,19.87,0.1,33.5,2.91
APT,59.08,60.47,1.67,20.77,0.85
APTM,63.05,50.2,0.6,58.36,0.17
APTO,81.83,10.88,0.21,37.59,3.17
APTS,40.68,45.95,1.75,67.38,0.97
APTV,51.72,80.48,1.71,80.96,2.49
APTX,74.59,84.95,0.88,53.6,0.35
APVO,15.88,55.4,0.59,20.03,2.7
APWC,21.1,19.26,1.97,35.67,1.23
APXT,18.59,62.11,0.07,32.52,0.37
APYX,40.7,52.22,0.89,55.73,0.18
AQB,24.32,57.95,0.88,40.62,0.16
AQMS,85.11,68.86,0.74,70.81,0.41
AQN,60.79,52.84,1.52,24.88,2.45
AQST,14.4,39.49,0.72,21.63,1.2
AQUA,60.79,74.49,0.98,74.41,1.62
AR,64.23,88.23,0.01,37.57,2.9
ARAV,62.29,40.48,0.38,35.42,2
ARAY,92.94,76.95,1.92,85.03,1.57
ARBG,68.4,55.82,0.3,47.03,0.59
ARC,48.87,35.2,1.39,51.9,0.3
ARCB,95.18,25.71,0.57,69.01,1.12
ARCC,47.74,98.84,1.5,81.34,0.52
ARCE,94.65,15.62,1.81,70.42,3.19
ARCH,26.22,92.93,1.5,66.08,1.28
ARCO,45.73,44.71,1.78,91.2,0.73
ARCT,37.83,41.55,0.52,65.19,1.41
ARD,77.57,39.16,0.91,89.95,1.34
ARDS,27.05,70.72,1.39,72.17,1.29
ARDX,32.94,57.5,1.35,41.49,2.18
ARE,41.5,54.97,0.83,92.29,0.68
AREC,52.47,19.09,1.45,87.99,0.2
ARES,88.37,17.54,0.2,64.67,3.24
ARGO,85.05,46.42,0.37,70.75,2.59
ARGX,31.17,99.66,0.1,31.34,0.01
ARI,43.03,31.3,0.93,33.03,3.44
ARK,73.27,87.81,1.49,65.86,1.78
ARKO,13.06,58.04,1.59,34.79,3.09
ARKR,11.1,95.86,1.26,41.39,1.33
ARL,46.27,41.12,0.2,95.73,2.12
ARLO,62.85,91.7,0.83,42.08,1.96
ARLP,43.16,19.45,1.34,89.31,0.37
ARMK,57.87,38.81,1.69,97.94,0.5
ARMP,53.21,50.27,1.25,10.06,2.9
ARNA,24.95,28.53,0.95,29.35,2.38
ARNC,54.14,13.79,0.13,99.17,0.93
AROC,57.32,77.82,1.14,29.19,0.78
AROW,82.94,14.59,0.09,73.74,1.28
ARPO,54.48,14.72,1.1,87.14,0.35
ARQT,32.11,29.4,0.77,33.01,2.99
ARR,50.69,64.96,1.39,75.06,1.82
ARRW,97.16,97.09,1.55,29.24,1.15
ARRY,63.34,43.7,0.43,34.48,3.92
ARTA,29.56,82.87,0.96,94.24,2.62
ARTE,12.84,30.31,1.08,87.76,0.59
ARTH,29.05,46.34,0.66,69.24,0.43
ARTL,76.35,12.25,0.49,43.05,0.94
ARTNA,44.63,12.82,0.5,64.78,1.81
ARTW,11.17,24.16,0.44,44.01,2.2
ARVL,63.87,14.83,0.19,48.07,1.38
ARVN,91.22,24.47,1.27,47.15,3.45
ARW,54.34,75.97,1.95,15.38,0.36
ARWR,18.86,19.25,1.71,14.9,2.68
ARYA,50.4,55.93,0.75,98.55,2.36
ARYD,12.02,61.53,1.71,66.22,2.59
ASA,23.72,95.41,0.66,14.11,3.45
ASAI,38.16,47.46,1.17,78.66,2.4
ASAN,98.12,44.36,1.18,41.83,2.52
ASAQ,17.31,56.53,0.45,58.12,1.17
ASAX,24.63,35.43,0.46,60.14,3.11
ASB,22,97.78,0.6,65.51,2.59
ASC,47.38,80.76,0.98,91.73,2.43
ASGN,63.75,60.06,1.93,50.15,1.78
ASH,61.67,26.07,1.69,27.84,2.05
ASIX,46.02,49.3,0.05,54.12,3.1
ASLE,10.84,91.71,0.68,97.83,0.73
ASLN,45.29,51.73,0.73,78.75,2.94
ASM,96.97,64.45,0.19,11.17,1.11
ASMB,85.09,67.02,0.87,97.82,2.75
ASML,24.19,90.99,1.79,79.14,1.69
ASNB,86.22,47.81,1.26,63.95,1.49
ASND,84.63,82.85,1.08,73.81,3.54
ASO,30.63,100,1.55,62.15,4
ASPC,47.4,35.88,0.33,63.18,0
ASPI,46.9,96.63,1.9,98.43,1.36
ASPL,13.54,87.98,1.25,53.03,1.15
ASPN,31.96,71.13,1.04,40.92,0.7
ASPS,85.71,62.55,1.84,26.88,3.13
ASPU,94.2,19.49,1.96,17,1.61
ASPX,74.33,17.7,0.95,15.85,1.73
ASR,52.3,21.01,0.1,76.07,1.44
ASRT,48.68,81.09,1.91,98.88,3.22
ASRV,25,54.78,0.17,24.37,3.43
ASTC,53.23,37.7,0.8,59.87,0.77
ASTE,62.98,40.78,0.85,10.34,3.27
ASTS,40.34,37.44,1.71,32.69,1.66
ASUR,32.05,66.75,1.93,50.47,2.47
ASX,33.67,31.3,1.69,53.14,0.38
ASXC,47.47,68.18,1.37,28.82,0.7
ASYS,86.37,96.65,0.12,91.17,3.91
ASZ,65.25,48.45,1.9,55.46,1.54
AT,97.37,50.49,1,45.94,2.44
ATA,32.63,27.43,0.54,74.22,2.25
ATAC,31.36,46.92,0.05,48.36,2.54
ATAI,26.01,20.86,0.28,73.82,2.51
ATAQ,26.6,48.72,0.31,36.89,1.09
ATAX,48.15,31.98,0.01,35.59,1.12
ATC,87.77,75.48,0.2,19.89,1.06
ATCO,33.82,53.9,0.25,75.24,0.61
ATCX,33.41,29.52,0.87,36.72,1.07
ATEC,34.31,12.68,1.92,43,2.79
ATEN,78.9,26.22,0.91,38.53,1.51
ATER,24.34,45,1.61,61.19,3.29
ATEX,97.07,23.86,1.02,99.84,0.89
ATGE,28.16,90.68,1.24,77.3,1.99
ATH,83.11,84.72,1.23,89.79,0.34
ATHA,77.21,88.69,1.38,26.44,3.27
ATHE,85.29,52.49,1.29,70.11,3.1
ATHM,67.07,95.13,0.61,70.43,2.6
ATHN,94.98,43.71,1.18,95.57,3.47
ATHX,95.32,52.43,1.59,59.28,0.35
ATI,27.29,86.16,1.21,84.41,3.9
ATIF,92.48,24.58,1.37,54.04,2.32
ATKR,17.72,88.23,0.21,83.44,0.55
ATLC,95.61,56.2,1.13,17.92,3.16
ATLO,74,87.66,1.07,94.54,3.36
ATLS,52.63,99.24,0.29,73.29,0.87
ATMR,18.26,88.6,1.7,65.3,3.46
ATMS,97.84,83.69,0.88,81.42,2.7
ATNF,59.81,75.58,0.86,68.46,0.4
ATNI,88.93,73.29,0.21,13.92,1.51
ATNM,92.43,92.03,0.94,68.58,1.37
ATNX,81.75,95.34,1.08,78.22,2.91
ATO,26.62,45.54,0.17,55.21,0.28
ATOM,54.3,89.74,0.8,57.66,2.98
ATOS,32.47,39.37,1.94,88.87,3.52
ATR,97.47,99.03,0.88,73.22,3.37
ATRA,40.71,94.3,1.88,31.99,2.84
ATRC,68.11,37.72,0.69,47.75,1.13
ATRI,78.46,27.06,1.74,10.94,2.87
ATRO,20.84,35.99,1.68,43.43,3.33
ATRS,28.17,55.64,1.02,82.81,3.73
ATRX,59.2,38.38,0.14,37.32,0.9
ATSG,88.04,69.4,1.3,88.63,3.19
